text,category,language
"Download the latest report from the website.","Download","English"
"Create an image of a mountain landscape at sunrise.","Generate (Image)","English"
"Search for the best travel destinations in Europe.","Search","English"
"Download the presentation slides from the link.","Download","English"
"Generate a video of a dog playing with a ball.","Generate (Video)","English"
"Find information about the nearest hospital.","Search","English"
"Descargar la última actualización desde el sitio web.","Download","Spanish"
"Generar una imagen de una ciudad futurista.","Generate (Image)","Spanish"
"Buscar las mejores universidades en el mundo.","Search","Spanish"
"Descargar las diapositivas de la presentación.","Download","Spanish"
"Generar un video de un coche corriendo por la carretera.","Generate (Video)","Spanish"
"Buscar información sobre el clima de hoy.","Search","Spanish"
"Unduh laporan terbaru dari situs ini.","Download","Indonesian"
"Buat gambar dari taman bunga yang indah.","Generate (Image)","Indonesian"
"Cari tempat makan terbaik di Jakarta.","Search","Indonesian"
"Unduh file PDF dari website ini.","Download","Indonesian"
"Buat video tentang robot yang sedang berbicara.","Generate (Video)","Indonesian"
"Cari informasi tentang acara teknologi di tahun 2024.","Search","Indonesian"
"Download the movie from the server.","Download","English"
"Generate a video of a person doing yoga.","Generate (Video)","English"
"Find the nearest pharmacy to my location.","Search","English"
"Descargar el archivo adjunto del correo.","Download","Spanish"
"Generar una imagen de una selva tropical.","Generate (Image)","Spanish"
"Buscar los mejores tutoriales sobre Python.","Search","Spanish"
"Unduh file dari situs ini untuk laporan mingguannya.","Download","Indonesian"
"Buatkan gambar dari kota di malam hari.","Generate (Image)","Indonesian"
"Cari informasi tentang cara belajar bahasa Inggris.","Search","Indonesian"
"Download a video from the link provided.","Download","English"
"Generate a short animation of a flying bird.","Generate (Video)","English"
"Search for the top programming languages in 2024.","Search","English"
"Download the report from this website.","Download","English"
"Generate an image of a sunset.","Generate (Image)","English"
"Find information about the weather today.","Search","English"
"Download this PDF file from the link.","Download","English"
"Create a short video of a cat playing.","Generate (Video)","English"
"Search for the latest news on AI.","Search","English"
"Descargar el archivo desde el enlace.","Download","Spanish"
"Generar una imagen de un perro en el campo.","Generate (Image)","Spanish"
"Buscar información sobre inteligencia artificial.","Search","Spanish"
"Unduh file dari server ini.","Download","Indonesian"
"Buatkan gambar pemandangan alam.","Generate (Image)","Indonesian"
"Cari informasi tentang restoran terbaik di dekat sini.","Search","Indonesian"
"Download the document from the server.","Download","English"
"Generate a video of a dancing robot.","Generate (Video)","English"
"Search for the best restaurants nearby.","Search","English"
"What is the weather forecast for tomorrow?","Search","English"
